business_id|name|address|state_|city|postal_code|latitude|longitude|stars|review_count|is_open|categories|hours|review_id|user_id|customer_stars|useful|funny|cool|text_|date_
2WRCcQATOe_Em0k61T6kvQ|Yook Korean Grilled BBQ & Bistro|2408 Nanaimo Street|BC|Vancouver|V5N 5E4|49.2627316|-123.0563706|4|74|1|Restaurants, Barbeque, Korean|{'Monday': '0:0-0:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}|t2I2CLHd7MpULwwqjPv0vA|iBRhL3g62aQzZ7nrJc-KCg|1|0|0|0|"Decent food horrible service. I would give this negative -4 stars if I could. I dine out all the time and have had better service almost everywhere. We had a reservation for 12 people (couples dates, plus 1 child) for 7:30. There were not enough sets of cutlery/bowls/cups of half of us, it wasnt a big deal but we did ask for more and didn't get any so we asked again, no utensils or anything to eat with until 15mins after the food was served hahahah. We ordered quite a bit of food, beers, and 3 iced teas-we didn't get the drinks until 40mins later when reminded again. We never got any tea or hot water to start off with throughout the whole meal.When we finished the appys no one ever came to remove the empty plates/even they came to put the main dishes on the table: and they clearly say there was no room, but kept trying to shove stuff over to fit everything. I got tired of all the clutter and started clearing it myself on to one of the many empty tables beside us. My friend asked for some more Kimchi side dish and they said we can't have more unless its a refill/ which I didn't understand so I said yeah ok/ I wouldn't mind paying for more anyways: 20mins later no kimchi, So I asked another waitress and she said we only do refills, so I asked her what she meant, (they mean like the will take the dish back and refill, you can't have another new small bowl of it), so I friend said sure anything works. She was so mad and aggressive saying ""what one, where is the plate?"" There are literally so many empty side dish plates on the table, but I said oh theres one right here. She screamed at me and said, ""well I cant see any, THERES NONE!!!"" then sighed loudly and walked away. We were all so confused. She came back 5 minutes later with some more kimchi and slammed them on the table and said, ""NEXT TIME MAKE SURE YOU KEEP THE OLD DISHES!"", I replied with, ""Oops sorry I didn't know what you meant, theres so many side dish bowls here, we didn't clear them away""... she sighed and walked away.I used to waitress for 5 years, I would never treat anyone like this. Terrible terrible attitude, it wasn't crazy busy either. At the end around 9 they were cleaning up other tables and made sure to let us know they were closing soon 10pm, they were clashing dishes and shoving chairs. We settled the bill already and self packed our leftovers already, and were just finishing out beers at 9:30 and she said we're closing soon and finally squished in to clear out table and make us feel like we're in the way. The bill had 18% tip included because we're a group, and I understand that, But I feel like they didn't deserve 80$ in tips for the way they ""served us"" at all. My partner and his friends are excellent tippers, they ussually tip 20-30% when we go out because they understand the struggle of the service industry, so we're not mad about how much, we just feel like they treated us so poorly because they knew their tips were going to be good no matter what lol.I just feel so bad that I booked this for our special date with our friends and I feel like I ruined their nights. So highly not recommended. Spend your $600 at anywhere else. Bye bye YOOK, I won't miss you."|2/15/2020 21:09
oug5bLTWP_YTtj1C3_X6Xw|Gourdough's Public House|2700 S Lamar Blvd|TX|Austin|78704|30.245382|-97.780437|4|1534|1|Karaoke, Pubs, Comfort Food, Bars, Gastropubs, Nightlife, American (New), American (Traditional), Restaurants|{'Monday': '0:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-0:0'}|gcJK-cQHFrrP1wnRUsQ9Jw|qcpg7m7V-5XgHZzdk_f_hQ|4|1|0|0|"I've been wanting to try Gourdough's for a while and I'm certainly glad I did! Everything was great, albeit it a little on the heavy side. For a place that has donut sandwiches, I really didn't expect anything to be ""light"" and I was one million percent correct. The food is really heavy, and calorie dense, but hey - you're eating fried chicken between two donuts so make every bite count!We started with the fried pickled okra which was different and very good. It was very similar to fried pickles (salty, brine-y) but with okra. I really enjoyed it and so did my partner. Next, on to the mains! I ordered the Saucy Cock (legit could not get myself to say it and even the server just called it 'the Saucy') and my ex-girlfriend (now wife, ha) got the stuffed avocado. I really liked the Saucy Cock because it was a buffalo chicken breast with blue cheese and tomato on two un-sweet donuts. It ""deconstructed"" very nicely and that's how I ate it: first the chicken and then the donuts., The donuts were really good and reminded me of Indian fry-bread or puffy tacos if you're familiar with those things. I didn't care for the jalapeño potato salad as the potatoes were very crunchy and undercooked. The avocado was okay, but I don't think she would order it again. It was served on top of a fried donut which just didn't really go with the meal at all. It had good stuffing though, and a good filling of pork. However, I think sandwiches and burgers are what I'd stick with here. I would definitely go back, but come hungry and be prepared to not even think about health. My chicken was delicious and I'd get it again, but it was better when I ate the sandwich in separate components than as a whole."|9/30/2020 1:17
imUlMANF0tNDxWOXdxfP9w|Donut Express & Cakes|258 Main St|MA|Medfield|2052|42.1937214|-71.2902513|5|42|1|Food, Bakeries, Custom Cakes, Donuts, Restaurants|{'Monday': '5:0-13:0', 'Tuesday': '5:0-13:0', 'Wednesday': '5:0-13:0', 'Thursday': '5:0-13:0', 'Friday': '5:0-13:0', 'Saturday': '5:30-13:0', 'Sunday': '6:0-13:0'}|wvtTSr4GGGnNhfnj7K1R6g|os_bbAergdkI_OiYyLrlrg|2|0|0|0|The last custom cake bought in October 2020 was stale.|12/24/2020 18:11
mP1EdIafQKMuOm9O4PzAfA|Barcelona Wine Bar South End|525 Tremont St|MA|Boston|2116|42.34493551|-71.07054364|4.5|1097|1|Spanish, Bars, Tapas Bars, Wine Bars, Tapas/Small Plates, Nightlife, Restaurants|{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '11:0-1:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}|twUhcgH6ODfMv7ZXEQMX6A|clEAaBNgrnS7PofAonfkJA|4|1|0|0|I came here with a group of 4 on a Saturday night. Definitely make a reservation ahead of time. This place will be PACKED especially on the weekend.General impression: This is the third time I've been to Barcelona. It's full of people mostly in 20s -30s. On Saturday night it gets really loud. You have to shout a little bit to talk, which worked out fine for our group of 4. Very nicely decorated; eclectic space. The food: Specialty in tapas or small shared plates, which makes it ideal for a small group. You can also get larger entrees to share, which will take a while to cook (we were told 45 min for seafood paella), and charcuterie (meats, cheese). We opted for the tapas. Favorites: Lobster risotto - the lobster was so TENDER, and risotto flavorful. You get thumb-sized chunks of lobster. It is a small portion but worth the taste for me Crispy rice - very unique as well. Again small portion shape of a short column, maybe the size of your palm and less than an inch in height. The TRUFFLES and sauce make this dish. Thin thin crispy outside layer, but most of the dish is risotto consistency Blistered shishito peppers - a surprising welcome in the meal. Slight heat but kind of just refreshing Churros with chocolate sauce - THICK airy churros, full of maybe cinnamon sugar, to dip in chocolate sauce. Very sharable THE BREAD: one of the best complimentary bread we've ever had. Warm and fluffy on the inside, crispy outside, thick, and slight sourdough feel. Just wonderful to dip in their olive oil. Good, but probably would not get again: Jamón & manchego croquetas - small, 4 pieces. Nothing extraordinary Albondigas - meatballs, also not unique Chorizo with sweet & sour figs - I liked the sweet figs better than the chorizo, which was too hard/dryMussels al Diablo - you get surprising amount of mussels. I generally just prefer white instead of red sauce. Thin chorizo again pretty dense Service: Very friendly, attentive, and prompt. No complaints. Cost: Bit on the pricy side. You're of course paying for the atmosphere as well. For 8 tapas it came out to $~90 for our group of 4 pre tip. Good choice for a nice night out with friends. Tl;dr: Great experience and food. The bill shows it.|2/19/2020 0:23
4UjU7F_EX3lgUtkzN8Bbrw|Shan-A-Punjab|500 Harvard St|MA|Brookline|2446|42.3480171|-71.1295567|4|426|1|Nightlife, Indian, Vegetarian, Cocktail Bars, Restaurants, Halal, Food, Vegan, Buffets, Seafood, Bars|{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}|vPFrlWYmxdUxjXS2JQquHQ|evqTtztHLyPSy3n0KcrJYg|1|1|0|1|"Ate the lunch buffet at Shan-a-Punjab many times. Loyal customers -- no more!Called them two nights back, requesting if we buy groupons, if we can do a take out order, as I have multiple fractures and am unable to climb or sit  on a regular chair / table. Got the go ahead.Bought 2 groupons for $35, one for me, one for my friend who has been driving me, lifting me, caring for me. We are two separate people with our separate items, going to our separate homes. Ordered the food. The lady took it as one order. Called to ask what the total is above the groupons, was told it is $60.60 but they will only take one groupon. I did not have an additional payment method with me and they were closing. It was near 10pm and I had not eaten the whole day, as I was working at the library, hungry, tired, in pain, looking forward to a familiar, warm meal.Spoke to an extremely rude manager, who began by saying he did not want to ""argue"" with me!He said, you can use one groupon today, and one another day, for take out. Though it would not be enough food for us, I said OK. Let me get half the food, I do not have additional funds with me, as we bought the Groupons expecting to pickup the food.He said, you want $60 worth of food to go waste?I said, no I do not! I want to buy the food, but you are refusing to give it, so please atleast give me half. We are hungry. I am in pain. we have driven all the way, I am injured and have not eaten the whole day.He said, he will give all the food, or none of it and will throw the rest out!Then he said, you want to come in here and get $60 worth of free food? I said, no, we don't want to get free food. We have paid for the groupons with your consent! Nobody said you can only use one groupon. If we knew that, we would have bought none / bought one / ordered $30 of food and picked it up! Then he said, you can come tomorrow and order the same thing, but actually today I won't give you any food!Finally he said, actually you know what, even if you are hurt, from tomorrow, I won't honor any groupons for pickup.I asked for the owner, and the manager sounded extremely nervous. He refused to give me a contact and said call tomorrow and we will see if we want to connect you! I called the next day and spoke with a lady. She reluctantly gave me the owner's name. She said he comes around 4pm. I called at 6pm today and reached the same manager! He said, the owner is out of the country! He left 4 weeks back! He is in India. I said, yesterday the lady said he is here and arrives around 4pm everyday. He said no, he is not here. I tried to reach the owner multiple times to not make this horrible experience public -- but the restaurant manager prevented me from reaching the owner.THIS IS THE treatment given to loyal customers by this restaurant. They lie, they insult, they humiliate and they deny you your order and further after advertising groupons, they try to shame you for using them. DO NOT BUY GROUPONS TO THIS RESTAURANT. They use bait and switch tactics. DO NOT WASTE ANY OF YOUR MONEY ON THIS RESTAURANT. There are plenty of good Indian restaurants in the greater Boston area who treat you with the warmth, hospitality, respect and dignity that is a hallmark of Indian culture and particularly when it comes to food. Every customer deserves to be treated with respect, and an establishment that does not respect or value its customers, does not deserve the business. Fortunately, Groupon does have good customer service. They refunded my money instantly."|1/30/2020 23:23
pKvT7mixZLS3bJoxzsVbPw|Virgils Gullah Kitchen & Bar|3721 Main St|GA|College Park|30337|33.6537153|-84.4498588|4|252|1|Soul Food, Cocktail Bars, Bars, Nightlife, Restaurants, Southern|{'Monday': '0:0-0:0', 'Tuesday': '12:0-23:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-0:0'}|rJ0cbBwdXC-U0UqzbavSHw|yG8mWsUimmev85Wm8T7M0Q|1|6|0|0|Very very disappointed. The menu looked on point and I'd been hearing great things about this place for a while so I was looking forward to finally trying it out. My partner and I showed up around 8 pm on a Friday and the host tells us it's a 30-minute wait - completely understandable since it's the weekend and we didn't make a reservation. About 45 minutes later we go in to check on the table and I see the host running all over. Once he is back at the stand he ignores us for a couple of minutes. During that time I get a text from the restaurant saying our table was ready - mind you I'm standing right in front of him when I get that text. I interrupt him while on his tablet and made him aware I was standing there and had gotten a text. Once again, it's Friday night and it's busy...no biggie. After we sit at our table for about 15-20 minutes and after the two open tables beside us had been seated and greeted, we finally have someone come by and acknowledge us. He wasn't our server but was letting us know the server would be there shortly. That would have been cool if he had come by when we first sat down, but not after waiting so long. When our server finally comes by about 5-10 minutes later, he treats us as if we had come in the wrong place and that we were an obligation. We order our entire meal - drinks, apps, and entrees since we had so much time to look over the menu. Thankfully, the food actually came out in a timely manner. BUT when the first dish comes out we had to wait another 5 minutes to start eating because we didn't have silverware. We ordered the muffins, they are good but not great. I mean they are muffins. Then our egg rolls come out. They are also good but not great. Not hard to mess up egg rolls. Then we receive our Crab Rice and the Shrimp and Crab gravy. The crab rice has about a 3/4 a tablespoon of crab on top and that's it - not any mixed in the rice, only a tiny scoop on the top. The shrimp and crab gravy flavor is good and the shrimp were nice sized but the rice was overcooked and some of it was crunchy. During this time we probably see our server 1 time and it was to refill our drinks - Not to ask us how the food was or to ask if we needed anything. As soon as we were done we quickly paid and got the F out. Overall this entire experience was TERRIBLE on so many levels.and y'all I don't typically write reviews when things go wrong bc shit happens but, in this case, it was collectively a bad experience from start to finish. Just do better.|1/12/2020 19:04
v1UzkU8lEWdjxq8byWFOKg|Gus's World Famous Fried Chicken|117 San Jacinto Blvd|TX|Austin|78701|30.2634862|-97.7417305|4.5|2490|1|Soul Food, Southern, Comfort Food, Chicken Shop, Restaurants, Chicken Wings|{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-20:0'}|dJXzdV468I1polIJqvDY9A|4ghiDthctrGfcrrZKR2dnQ|4|0|0|0|One of my partner and I's favorite restaurants, and by far the best fried chicken spot in Austin! The three-piece plates are also pretty affordable and filling which is definitely another to reason come frequently. As for the sides, I totally recommend the macaroni and coleslaw, it pairs so nicely with the spicy chicken.The last time we came in July, we ordered takeout because we still don't feel comfortable sitting inside restaurants maskless due to COVID-19. The entrance was crowded with a large family waiting for a table and there was a group that just finished dinner walking through the door with no masks on when we had just walked in. We were within 2 feet of over 10 people in the span of 30 seconds, just trying to get to the to-go table by the kitchen which is only 10 feet away.I understand Gus's is small but we felt insanely uncomfortable picking up food with no safety precautions in place. No staff member was helping guide the flow of people, the waiting area is still directly next to the door where people enter and exit, and the waiter allowed their table to leave maskless, walking past many other people. I've been to lots of restaurants to get takeout and I have seen very creative processes that minimize contact between staff and other customers. I really thought Gus's would've thought of a better method to offer takeout that doesn't involve getting very close to others who may be maskless, but unfortunately no.I really love Gus's and I write this from a place of caring. I do not intend on coming back in person for a while unless a significant change is made. We will probably order delivery in the future. Thankfully, it's been long enough to know that we didn't contract anything, but I believe it's better to be safe than sorry.|8/15/2020 22:18
VaZPHQuklOlvZcj0HYl26Q|Norwood Spice|655 Washington St|MA|Norwood|2062|42.193486|-71.201524|4.5|19|1|Restaurants, Indian, Himalayan/Nepalese|{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '12:0-21:0'}|bObYlm3T4m3ld7xNSuPWxg|mcWU_qk2tGJcRBWf8ZFGQg|5|0|0|0|The delivery was a little late but the food was amazing!! I will definitely order again!|12/19/2020 12:48
J8Ha6yIvGoU-E31jnCq7Ew|Barley Swine|6555 Burnet Rd, Ste 400|TX|Austin|78757|30.34127377|-97.73838864|4.5|1086|1|Restaurants, Nightlife, American (New), Bars, Gastropubs|{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}|cdz56-rOcu_8JgJ2CaVppw|lVgyib2kpWzBRlJJF_bteQ|5|1|0|1|Always amazing service and food. Can't wait to go back to sitting at the chefs counter once things get back to normal|7/31/2020 16:08
7YwbfZF4j8yNSAJ0aGfOUA|Sake House|1619 Rinehart Rd|FL|Sanford|32771|28.80272983|-81.33059267|4|23|1|Japanese, Sushi Bars, Restaurants|{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}|RBDwSPatoYoulP3ripKPyg|oifjZ-v9WL9LZi0oPuzArA|5|2|0|1|Loved this hidden little treasure. Good service Good and reasonable sushiGreat presentation Delish hot sake|9/7/2020 17:54
